t001;DEPOSIT;504.43
t002;WITHDRAW;710.1
t003;DEPOSIT;4958.97
t004;WITHDRAW;3182.81
t005;DEPOSIT;3439.14
t006;WITHDRAW;3950.68
t007;WITHDRAW;4659.53
t008;WITHDRAW;560.26
t009;DEPOSIT;13.87
t010;WITHDRAW;1703.08
t011;WITHDRAW;1545.18
t012;WITHDRAW;3927.38
t013;DEPOSIT;1069.2
t014;DEPOSIT;3093.16
t015;WITHDRAW;1682.02
t016;WITHDRAW;3706.41
t017;DEPOSIT;3194.93
t018;WITHDRAW;4808.43
t019;WITHDRAW;167.61
t020;WITHDRAW;3726.55
t021;WITHDRAW;76.03
t022;WITHDRAW;917.84
t023;DEPOSIT;1658.06
t024;WITHDRAW;286.22
t025;DEPOSIT;2029.78
t026;WITHDRAW;4429.29
t027;DEPOSIT;1661.6
t028;WITHDRAW;710.02
t029;WITHDRAW;4443.94
t030;DEPOSIT;4308.04
t031;DEPOSIT;4027.52
t032;WITHDRAW;481.93
t033;WITHDRAW;1564.74
t034;WITHDRAW;3219.69
t035;WITHDRAW;241.55
t036;DEPOSIT;4533.51
t037;DEPOSIT;47.33
t038;DEPOSIT;3723.42
t039;DEPOSIT;4100.33
t040;DEPOSIT;4018.08
t041;WITHDRAW;3987.16
t042;DEPOSIT;2307.38
t043;WITHDRAW;4968.63
t044;DEPOSIT;4963.34
t045;WITHDRAW;3645.99
t046;WITHDRAW;1613.82
t047;DEPOSIT;448.47
t048;WITHDRAW;2724.91
t049;DEPOSIT;2556.55
t050;WITHDRAW;3450.81
t051;DEPOSIT;2298.04
t052;DEPOSIT;3263.86
t053;DEPOSIT;4024.87
t054;DEPOSIT;1213.61
t055;DEPOSIT;2946.25
t056;WITHDRAW;873.57
t057;DEPOSIT;3767.26
t058;WITHDRAW;3248.36
t059;DEPOSIT;1045.16
t060;WITHDRAW;2440.43
t061;DEPOSIT;2380.66
t062;WITHDRAW;3485.46
t063;WITHDRAW;1163.52
t064;DEPOSIT;3714.2
t065;DEPOSIT;2514.47
t066;WITHDRAW;1163.13
t067;WITHDRAW;3431.26
t068;DEPOSIT;3577.54
t069;WITHDRAW;3916.08
t070;DEPOSIT;510.26
t071;WITHDRAW;3526.69
